OpenAL-devel,pkgconfig(openal)
abseil-cpp-devel,pkgconfig(absl_log_internal_strip)
abseil-cpp-devel,pkgconfig(absl_log_internal_structured)
abseil-cpp-devel,pkgconfig(absl_log_internal_voidify)
abseil-cpp-devel,pkgconfig(absl_log_severity)
abseil-cpp-devel,pkgconfig(absl_log_sink)
abseil-cpp-devel,pkgconfig(absl_log_sink_registry)
abseil-cpp-devel,pkgconfig(absl_log_streamer)
abseil-cpp-devel,pkgconfig(absl_log_structured)
abseil-cpp-devel,pkgconfig(absl_low_level_hash)
abseil-cpp-devel,pkgconfig(absl_malloc_internal)
abseil-cpp-devel,pkgconfig(absl_memory)
abseil-cpp-devel,pkgconfig(absl_meta)
abseil-cpp-devel,pkgconfig(absl_node_hash_map)
abseil-cpp-devel,pkgconfig(absl_node_hash_set)
abseil-cpp-devel,pkgconfig(absl_node_slot_policy)
abseil-cpp-devel,pkgconfig(absl_non_temporal_arm_intrinsics)
abseil-cpp-devel,pkgconfig(absl_non_temporal_memcpy)
abseil-cpp-devel,pkgconfig(absl_nullability)
abseil-cpp-devel,pkgconfig(absl_numeric)
abseil-cpp-devel,pkgconfig(absl_numeric_representation)
abseil-cpp-devel,pkgconfig(absl_optional)
abseil-cpp-devel,pkgconfig(absl_periodic_sampler)
abseil-cpp-devel,pkgconfig(absl_prefetch)
abseil-cpp-devel,pkgconfig(absl_pretty_function)
abseil-cpp-devel,pkgconfig(absl_random_bit_gen_ref)
abseil-cpp-devel,pkgconfig(absl_random_distributions)
abseil-cpp-devel,pkgconfig(absl_random_internal_distribution_caller)
abseil-cpp-devel,pkgconfig(absl_random_internal_distribution_test_util)
abseil-cpp-devel,pkgconfig(absl_random_internal_fast_uniform_bits)
abseil-cpp-devel,pkgconfig(absl_random_internal_fastmath)
abseil-cpp-devel,pkgconfig(absl_random_internal_generate_real)
abseil-cpp-devel,pkgconfig(absl_random_internal_iostream_state_saver)
abseil-cpp-devel,pkgconfig(absl_random_internal_mock_helpers)
abseil-cpp-devel,pkgconfig(absl_random_internal_nonsecure_base)
abseil-cpp-devel,pkgconfig(absl_random_internal_pcg_engine)
abseil-cpp-devel,pkgconfig(absl_random_internal_platform)
abseil-cpp-devel,pkgconfig(absl_random_internal_pool_urbg)
abseil-cpp-devel,pkgconfig(absl_random_internal_randen)
abseil-cpp-devel,pkgconfig(absl_random_internal_randen_engine)
abseil-cpp-devel,pkgconfig(absl_random_internal_randen_hwaes)
abseil-cpp-devel,pkgconfig(absl_random_internal_randen_hwaes_impl)
abseil-cpp-devel,pkgconfig(absl_random_internal_randen_slow)
abseil-cpp-devel,pkgconfig(absl_random_internal_salted_seed_seq)
abseil-cpp-devel,pkgconfig(absl_random_internal_seed_material)
abseil-cpp-devel,pkgconfig(absl_random_internal_traits)
abseil-cpp-devel,pkgconfig(absl_random_internal_uniform_helper)
abseil-cpp-devel,pkgconfig(absl_random_internal_wide_multiply)
abseil-cpp-devel,pkgconfig(absl_random_random)
abseil-cpp-devel,pkgconfig(absl_random_seed_gen_exception)
abseil-cpp-devel,pkgconfig(absl_random_seed_sequences)
abseil-cpp-devel,pkgconfig(absl_raw_hash_map)
abseil-cpp-devel,pkgconfig(absl_raw_hash_set)
